127.0.0.1 - - [30/Mar/2026:00:10:38 -0500] "GET /api/malaria/monthly-approvals/ HTTP/1.0" 500 195331 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:38 -0500] "GET /api/malaria/local-records/ HTTP/1.0" 500 188630 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:38 -0500] "GET /api/malaria/user-roles/?role=sk&count=exact HTTP/1.0" 500 154284 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:38 -0500] "GET /api/malaria/villages/?count=exact HTTP/1.0" 500 171634 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:43 -0500] "GET /api/malaria/profiles/ HTTP/1.0" 500 154021 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:53 -0500] "GET /api/malaria/auth/session/ HTTP/1.0" 200 243 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:54 -0500] "GET /api/malaria/user-roles/?role=sk&count=exact HTTP/1.0" 500 154284 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:54 -0500] "GET /api/malaria/monthly-approvals/ HTTP/1.0" 500 195331 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:54 -0500] "GET /api/malaria/local-records/?count=exact HTTP/1.0" 500 189100 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:54 -0500] "GET /api/malaria/villages/?count=exact HTTP/1.0" 500 171634 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:54 -0500] "GET /api/malaria/local-records/ HTTP/1.0" 500 188630 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
